project_id,owner_id,user_id,Time_Create,Time_Meb0,Time_Meb1,Time_Cmt0,Time_Cmt1,project_language,Tech_lang,Project_Member,Project_Commit_Count,Project_Size,Open_Issues_Count,Forks,Watchers,Network_Count,Stargazers_Count,has_star_developer,Successful_Onboarding
520648,132807,415728,291881,292001,156402,291864,4318823,Java,2,9,60,302,0,0,3,11,22,1,0
524804,251852,547785,120,0,2302692,1287024,2095386,PHP,1,175,71686,328918,1658,1658,17570,50954,1345,1,1
535397,132161,132222,951232,951352,945181,3948139,2741364,Java,18,10,185,331,0,0,1,8,15,1,0
10840550,4512126,1067755,120,0,0,0,4006836,PHP,1,9,39,1068,1,1,6,4,13,1,0
10858056,4608551,3601060,59,0,0,363862,2123313,Python,11,29,23,59,2,2,1,13,25,1,0
10858056,4608551,3724206,59,0,0,363862,2123313,Python,11,29,23,59,2,2,1,13,25,1,1
10898171,2637570,3117102,120,0,0,0,2147859,JavaScript,1,22,69,3360,3,3,15,4,25,1,1
559394,25523,61134,120,0,932989,373277,2645299,Java,3,16,245,3151,6,6,39,241,35,1,1
578688,631496,145906,60,0,3875,369753,3732897,JavaScript,1,7,552,4714,2,2,1,5,7,1,1
592541,397912,219147,60,0,474946,1453578,2094555,C#,1,12,423,8893,0,0,0,3,31,1,1
619778,24809,24815,120,0,2654494,352617,2127307,Java,3,14,115,902,0,0,10,3,15,1,0
622343,5954,77345,119,0,599268,1275480,2093995,Python,81,234,528,773,10,10,16,8,163,1,0
681665,125584,118490,120,0,0,120,3781656,JavaScript,1,23,892,4688,72,72,23,63,23,1,1
690120,371652,67063,59,0,370485,61,3468388,PHP,4,19,99,612,1,1,3,7,15,1,0
704682,94761,19141,120,0,400075,115,3617148,C++,3,11,94,536,2,2,6,5,8,1,1
735668,516206,716549,178410,178530,1805,1975359,2287719,C,1,21,221,39326,2,2,19,11,47,1,0
841280,51473,51613,120,0,4127,120,2093965,Python,3,6,1155,3581,21,21,12,33,12,1,1
849787,124393,80999,119,0,362345,3964,3108262,Python,36,13,255,404,0,0,0,3,14,1,1
886669,121412,234024,55954,56074,103755,58649,3093517,Python,1,23,88,164,18,18,34,24,59,1,0
901621,67023,314612,792145,792205,2256932,5885875,2097621,C,1,17,11378,,,,,,,1,0
10938049,5700,830527,59,0,0,133,2100164,Ruby,4,17,895,1614,3,3,32,28,76,1,1
10939746,1376636,119817,60,0,0,4531,4027459,PHP,1,19,13,240,0,0,1,3,15,1,0
11009146,1146,63911,120,0,3346120,152152,2401381,Python,6,16,64,364,9,9,26,25,14,1,1
11203443,26310,9018,119,0,0,370124,2097543,Ruby,4,13,9719,29979,1,1,133,175,51,1,1
11226972,29218,2312839,60,0,0,160295,2095418,JavaScript,20,65,18307,276344,913,913,1908,8402,335,1,0
11290539,29390,3771186,119,0,529780,0,2723671,JavaScript,1,13,200,231,4,4,23,64,59,1,0
1026252,865299,663039,119,0,525394,711180,4117167,C#,1,6,31,1601,0,0,5,5,10,1,0
1199766,427516,1063468,59,0,90562,1,4275394,Ruby,1,11,115,,,,,,,1,0
1347811,41225,508248,120,0,2183074,287666,2483189,Python,5,8,6761,70272,1056,1056,563,253,32,1,0
1360526,4580,92278,120,0,0,143955,2126293,JavaScript,2,14,2617,70990,9,9,53,12,30,1,1
1364863,930310,36476,119,0,0,526,3289473,Ruby,2,13,584,947,24,24,22,65,28,1,1
1366976,796611,619525,639569,639629,275092,64942,2121633,Java,1,10,785,35869,61,61,69,172,68,1,0
11338126,1743052,2893870,59,0,1147989,201736,3568520,JavaScript,1,15,89,99206,1,1,5,7,7,1,0
11351087,3651008,3381298,636,756,867,219721,3864795,C++,1,6,920,85420,0,0,1,2,6,1,1
11351087,3651008,4892807,1504,1624,0,220589,3864795,C++,1,6,920,85420,0,0,1,2,6,1,1
11356364,3497088,904859,120,0,1159502,0,3004153,Ruby,1,48,1495,4542,102,102,13,44,147,1,0
11360825,1007812,312633,119,0,0,0,2814091,Java,7,163,94,188,11,11,23,37,78,1,0
11448513,925896,381699,113,6,5651,657,3889497,JavaScript,1,7,46,573,8,8,2,4,7,1,0
11485565,4955090,1330672,119,0,0,22662,2842892,C#,4,7,29,2786,6,6,6,21,22,1,0
11510700,734273,1889985,120,0,1159210,61,2352149,JavaScript,1,43,254,20551,0,0,1,1,9,1,0
11536135,76839,12046,120,0,0,475139,2097167,JavaScript,2,23,177,6259,23,23,366,1373,122,1,0
1477654,327268,37015,119,0,2331703,173,2604318,JavaScript,6,27,94,,,,,,,1,0
1525342,2206,43461,120,0,0,7,4822880,Java,16,299,22,32,0,0,3,3,123,1,1
11589916,2869,1106013,119,0,0,28545,3983779,Ruby,1,10,12,526,7,7,0,3,12,1,0
11650157,4450622,17958,120,0,1542263,599173,2621827,JavaScript,2,15,543,1150,27,27,4,23,20,1,1
11658976,4991666,1432506,120,0,0,3,3923170,C++,4,6,173,40396,150,150,216,718,66,1,1
11662730,5052674,2035003,120,0,0,0,3492685,Python,2,22,1645,53943,100,100,79,159,29,1,1
